title,artist,album,isrc,isFound
"Portal 2: End Credits Song 'Want You Gone' by Jonathan Coulton [1080p HD]",,,,0
"Portal - 'Still Alive'",,,,0
"All This Time","Jonathan Coulton",,,1
"Deadbeat Summer","Neon Indian",,,1
"Mild High Club - Homage",,,,1
"💯 ✿ Harrison ✿ - Happy Boy",,,,0
"Infected Mushroom - Change The Formality",,,,1
"Angelfire (Bonus Track)","Lemon Demon",,,0
"Capsule - Hello",,,,1
"MACINTOSH PLUS - リサフランク420 / 現代のコンピュー |(reupload)",,,,0
"Hyper Potions - Friends (Sonic Mania Opening Animation Song)",,,,1
"Maxo ft. GFOTY ""Not That Bad""",,,,0
"fusq - Blush (feat. MYLK)",,,,1
"Spicy Boyfriend","Shawn Wasabi",,,1
"Marble Soda","Shawn Wasabi",,,1
"Dr. Gaster",Shadrow,,,1
Hsgnreel2011,cubesato,,,1
"Diveo - Hoverboard (ft. Austin Crute)",,,,1
"Fever Dreams (feat. Taylor Fernandez)","Various Artists",,,0
"Diveo - I Want to Be Your Friend",,,,1
"Digital Love","Daft Punk",,,1
"Madeon - Pop Culture (live mashup)",,,,0
"bo en - every day",,,,1
"bo en - friend",,,,1
"bo en - winter valentine (with mus.hiba)",,,,1
"plasterbrain - Nimbasa CORE -- Official Upload",,,,1
"Doki Doki Literature Club - Your Reality (Jakeneutron Remix)",,,,0
"My Party (bo en Remix)","Kero Kero Bonito",,,1
"Summer Trees",Diveo,,,1
"bo en - sometimes",,,,1
"ROBLOX | What Float Your Boat - Original Soundtrack - Running Around in the Rain Without a Shirt On",,,,0
"Fresh Static Snow","Porter Robinson",,,1
"La Lune",Madeon,,,1
"#8 regret - Splatoon 2: Octo Expansion OST",,,,0
"Splatoon - Tide Goes Out (Marie's Song)",,,,0
"My Leather, My Fur, My Nails",Stepdad,,,1
"Heimdalsgate Like A Promethean Curse","Of Montreal",,,1
"Superorganism - Something For Your M.I.N.D. (Official Video)",,,,1
"bo en - pale machine",,,,1
"Sad Machine","Porter Robinson",,,1
"Browser History","Graham Kartna",,,1
Nanã,"Polo & Pan",,,1
"The Living Tombstone - The Ghostbusters Theme (Remix)",,,,0
"Child Protective Services Theme Song","Nero's Day at Disneyland",,,1
Comics,"Caravan Palace",,,1
"色彩電気 (feat. 初音ミク)",muship,,,0
Synthesizer,"Electric Six",,,1
Beings,Madeon,,,1
"Cótiles - ENA REMIX",,,,0
"Hello, World","Louie Zong",,,1
"Anamanaguchi -「 Pop It (feat. meesh彡☆) 」 (Official Music Video)",,,,1
"Foster The People - Best Friend (Wave Racer Remix)",,,,1
"Estrelar (Baht Remix)","A k i n a",,,0
"Great Moves! Keep It Up!",Echorobot,,,1
"bo en - by the phone",,,,1
"i'll fall (feat. COR!S)",,,,0
"bo en - miss you",,,,1
"money won't pay (with augustus)",,,,1
"bo en - be okay (with avec avec)",,,,1
"Squid Melody (Blue Version)","The Living Tombstone",,,1
WTF?,"OK Go",,,1
"Before The Earth Was Round","OK Go",,,1
"Squid Melody (Red Version)","The Living Tombstone",,,1
"Back to the Funky Future",Soundroll,,,1
"Dead Weight","Jack Stauber",,,1
"Gettin' My Mom On","Jack Stauber",,,1
"Two Time","Jack Stauber's Micropop",,,1
"Baby Hotline","Jack Stauber's Micropop",,,1
Fighter,"Jack Stauber's Micropop",,,1
"The Ballad of Hamantha","Jack Stauber's Micropop",,,1
"Cheeseburger Family","Jack Stauber's Micropop",,,1
"Al Dente","Jack Stauber's Micropop",,,1
"Today Today","Jack Stauber's Micropop",,,1
"Spring Cleaning","Jack Stauber's Micropop",,,1
Milk,"Jack Stauber's Micropop",,,1
Coffee,"Jack Stauber's Micropop",,,1
"Paper Towels","Jack Stauber's Micropop",,,1
Oatmeal,"Jack Stauber's Micropop",,,1
"Lemon Demon - Everybody Likes You",,,,0
Kaleidoskull,"Lemon Demon",,,1
"Meet the Elements","They Might Be Giants (For Kids)",,,1
"Science Is Real","They Might Be Giants (For Kids)",,,1
Glean,"They Might Be Giants",,,0
"Kitty City","Cyriak Harris",,,1
Breakfast,"Cyriak Harris",,,1
"Moo (Remix)","Cyriak Harris",,,0
"Baa (Remix)","Cyriak Harris",,,0
Cycles,"Cyriak Harris",,,1
"7 Billion","Cyriak Harris",,,1
Cows,"Cyriak Harris",,,1
"Meow (Remix)","Cyriak Harris",,,0
Indigestion,"Cyriak Harris",,,1
RIP,"Cyriak Harris",,,1
"Undertale OST: 018 - Uwa!! So Holiday♫",,,,0
